startscan;ch1;ch2;ch3;ch4;ch5;ch6;status;
01.11.2018 0:00:02;683.09;801.01;443.2;270.64;224.27;793.34;4;
01.11.2018 0:10:02;782.11;785.62;413.15;246.55;205.36;827.44;4;
01.11.2018 0:20:02;587.25;671.46;369.36;232.31;275.06;690.13;4;
01.11.2018 0:30:02;622.03;685.17;341.32;198.24;329.14;700.39;4;
01.11.2018 0:40:02;379.7;531.27;308.3;211.24;334.15;582.9;4;
01.11.2018 0:50:02;474.02;633.62;340.44;210.4;371.94;730.26;4;
01.11.2018 1:00:02;586.15;767.89;403.06;242.17;433.16;889.83;4;
01.11.2018 1:10:02;683.62;812.41;421.24;258.28;449.23;899.9;4;
01.11.2018 1:20:02;546.11;714.64;405.13;270.62;398.83;729.09;4;
01.11.2018 1:30:02;667.14;909.72;513.55;342.35;544.7;977.31;4;
01.11.2018 1:40:02;559.4;771.82;440.26;298.4;504.58;880.01;4;
01.11.2018 1:50:01;405.46;594.22;361.16;259.01;476.93;871.72;4;
01.11.2018 2:00:02;810.73;876.38;438.51;252.68;319.62;844.66;4;
01.11.2018 2:10:01;370.37;511.47;289.01;186.04;293.08;603.11;4;
01.11.2018 2:20:01;413.28;563.21;309.55;191.16;306.12;625.35;4;
01.11.2018 2:30:01;383.27;535.45;314.37;220.11;359.06;614.24;4;
01.11.2018 2:40:02;527.52;728.01;408.06;243.69;258.94;721.22;4;
01.11.2018 2:50:01;517.95;662.2;350.17;212.18;321.97;634.82;4;
01.11.2018 3:00:02;699.73;929.05;500.69;292.61;334.37;892.15;4;
01.11.2018 3:10:02;590.24;810.6;457.19;280.47;315.29;845.7;4;
01.11.2018 3:20:01;610.46;799.61;426.74;262.03;402.51;775.09;4;
01.11.2018 3:30:02;614.59;840;468.01;279.32;302.45;812.91;4;
01.11.2018 3:40:01;581.18;818.25;473.67;299;351.61;866.94;4;
01.11.2018 3:50:02;568.1;756.58;412.37;263.95;427.86;792.93;4;
01.11.2018 4:00:02;516.94;724.64;420.54;281.57;394.2;702.07;4;
01.11.2018 4:10:01;338.29;489.34;286.8;190.32;329.38;651.3;4;
01.11.2018 4:20:02;530.64;702.26;369.94;205.31;254.65;742.42;4;
01.11.2018 4:30:02;584.07;736.65;389.2;218.02;229.88;683.95;4;
01.11.2018 4:40:01;594.45;822.88;465.36;281.42;313.06;864.72;4;
01.11.2018 4:50:02;719.43;911.45;491.25;292.83;349.06;878.54;4;
01.11.2018 5:00:02;516.29;689.67;379.31;247.04;398.45;712.47;4;
01.11.2018 5:10:02;1010.9;1127.31;591.39;344.42;244.59;940.66;4;
01.11.2018 5:20:02;868.78;1039.92;561;331.73;303.61;828.56;4;
01.11.2018 5:30:02;1389.44;1064.15;555.06;380.25;207.11;1002.4;4;
01.11.2018 5:40:02;1495.47;1100.76;633.36;557.53;463.92;885.87;4;
01.11.2018 5:50:02;1632.85;1347.92;680.86;424.46;182.59;1150.33;4;
01.11.2018 6:00:01;1548.38;1232.34;641.98;422.55;192.2;1251.4;4;
01.11.2018 6:10:01;1202.49;1177.83;558.74;292.73;202.02;947.84;4;
01.11.2018 6:20:01;958.51;837.21;444.84;281.26;203.58;763.75;4;
01.11.2018 6:30:02;1228.08;1022.29;493.84;286.57;112.88;971.93;4;
01.11.2018 6:40:01;1449.24;1183.31;565.61;340.38;144.2;901.76;4;
01.11.2018 6:50:01;1801.51;1295.72;636.42;453.33;158.05;1081.43;4;
01.11.2018 7:00:02;1348.17;1257.3;622.17;381.37;209.45;1044.93;4;
01.11.2018 7:10:01;1189.6;1271.99;662.42;366.68;222.09;1034.69;4;
01.11.2018 7:20:02;1253.49;1335.71;681.92;386.1;288.07;1099.53;4;
01.11.2018 7:30:01;1454.98;1432.77;716.48;422.52;189.81;1117.57;4;
01.11.2018 7:40:02;1400.01;1490.24;787.34;482.54;258.33;1299.21;4;
01.11.2018 7:50:02;1311.42;1435.53;806.73;503.92;238.4;1170.46;4;
01.11.2018 8:00:02;1084.27;1145.27;590.63;338.49;223.58;941.44;4;
01.11.2018 8:10:01;1106.55;1249.81;651.95;369.68;256.48;1068.16;4;
01.11.2018 8:20:02;973.34;1280.88;718.96;433.97;284.08;1060.7;4;
01.11.2018 8:30:02;990.31;1197.65;640.16;375.49;367.41;990.18;4;
01.11.2018 8:40:02;842.26;1057.74;560.73;319.76;332.84;968.36;4;
01.11.2018 8:50:02;562.85;743.14;397.07;247.31;420.74;812.2;4;
01.11.2018 9:00:02;445.52;612.47;344.98;228.2;424.27;815.39;4;
01.11.2018 9:10:02;493.25;629.33;324.38;187.66;322.41;709.44;4;
01.11.2018 9:20:02;559.65;685.17;347.05;185.65;218.94;683.42;4;
01.11.2018 9:30:02;589;699.58;351.93;181.59;165.46;603.42;4;
01.11.2018 9:40:02;497.96;548.75;264.21;148.73;272.67;593.22;4;
01.11.2018 9:50:03;417.76;516.73;251.31;132.13;225.93;537.16;4;
01.11.2018 10:00:01;78.08;106.63;65.58;64.55;241.92;368.78;4;
01.11.2018 10:10:02;327.45;315.84;139.42;82.95;225.83;386.68;4;
01.11.2018 10:20:01;364.05;322.33;126.72;59.4;181.53;368.04;4;
01.11.2018 10:30:01;339.17;418.87;200.98;98.66;162.21;436.46;4;
01.11.2018 10:40:01;415.38;465.21;226.97;123.89;182.99;431.02;4;
01.11.2018 10:50:01;355.53;392.81;188.63;112.67;244.41;425.94;4;
01.11.2018 11:00:02;281.88;354.6;181.42;111.29;222.52;393.4;4;
01.11.2018 11:10:01;366.8;393.9;191.67;117.45;236.7;418.07;4;
01.11.2018 11:20:02;397.38;431.97;201.26;110.58;216.63;406.14;4;
01.11.2018 11:30:02;345.78;439.07;226.52;129.56;205.33;471.1;4;
01.11.2018 11:40:02;255.77;370.17;218.05;143.9;223.9;446.94;4;
01.11.2018 11:50:01;444.16;560.49;290.2;154.11;140.99;515.58;4;
01.11.2018 12:00:02;210.84;299.16;179.21;133.65;255.36;381.57;4;
01.11.2018 12:10:01;227.42;348.51;223;159.81;224.01;423.9;4;
01.11.2018 12:20:02;378.58;526.45;292.56;174.83;224.83;496.66;4;
01.11.2018 12:30:02;292.2;425.92;257.86;193.77;461.75;821.12;4;
01.11.2018 12:40:02;232.65;307.52;169.75;133.2;430.12;689.78;4;
01.11.2018 12:50:02;168.17;237.49;144.48;126.09;410.32;637.3;4;
01.11.2018 13:00:02;150.24;244.94;177.58;168.09;394.07;530.22;4;
01.11.2018 13:10:02;154.74;229.8;149.32;133.74;380.38;564.54;4;
01.11.2018 13:20:02;170.4;248;157.39;137.04;376.32;558.13;4;
01.11.2018 13:30:02;255.18;374.28;224.14;153.44;274.51;551.3;4;
01.11.2018 13:40:02;225.53;355.42;232.07;177.1;350.12;657.15;4;
01.11.2018 13:50:02;150.78;210.87;125.85;109.3;394.67;646.67;4;
01.11.2018 14:00:02;80.6;128.79;94.16;103.01;387.37;597.3;4;
01.11.2018 14:10:01;103.74;132.45;72.37;73.1;398.66;665.97;4;
01.11.2018 14:20:01;194;248.83;128.99;95.29;367.23;651.44;4;
01.11.2018 14:30:02;113.04;144.79;74.41;59.79;302.58;541.18;4;
01.11.2018 14:40:01;306.75;334.52;160.72;103.6;284.7;488.11;4;
01.11.2018 14:50:01;322.6;441.81;239.1;140.84;225.56;500.61;4;
01.11.2018 15:00:02;1193.85;850.65;362.45;240.04;128;499.14;4;
